Band Number, Nominal Center Wavelength (int), Center Wavelength, Width (FWHM), Solar Irradiance, Rayleigh Optical Thickness, Depolarization Factor, k_oz (Ozone), k_no2 (NO2)
, nm, nm, nm, W/m^2/um/sr,,,,
198, 727,     726.796,       4.997,    1332.059,   3.124E-02,   2.777E-02,   1.304E-02,   1.168E-21
199, 729,     729.299,       4.990,    1323.286,   3.081E-02,   2.777E-02,   1.221E-02,   8.988E-22
200, 732,     731.790,       4.993,    1316.496,   3.038E-02,   2.776E-02,   1.153E-02,   9.400E-22
201, 734,     734.281,       5.014,    1313.774,   2.997E-02,   2.776E-02,   1.115E-02,   1.157E-21
202, 737,     736.791,       4.998,    1302.772,   2.956E-02,   2.775E-02,   1.096E-02,   1.301E-21
203, 739,     739.287,       5.001,    1282.793,   2.917E-02,   2.775E-02,   1.090E-02,   1.303E-21
204, 741,     740.535,       4.981,    1276.658,   2.896E-02,   2.775E-02,   1.093E-02,   1.339E-21
205, 742,     741.785,       5.021,    1273.108,   2.877E-02,   2.774E-02,   1.103E-02,   1.497E-21
206, 743,     743.046,       5.003,    1274.792,   2.857E-02,   2.774E-02,   1.119E-02,   1.813E-21
207, 744,     744.286,       5.004,    1277.343,   2.838E-02,   2.774E-02,   1.137E-02,   2.157E-21
208, 746,     745.534,       4.995,    1278.299,   2.819E-02,   2.774E-02,   1.153E-02,   2.323E-21
209, 747,     746.789,       5.005,    1278.100,   2.800E-02,   2.774E-02,   1.159E-02,   2.206E-21
210, 748,     748.041,       5.009,    1274.523,   2.781E-02,   2.773E-02,   1.150E-02,   1.877E-21
211, 749,     749.279,       5.016,    1267.826,   2.762E-02,   2.773E-02,   1.122E-02,   1.555E-21
212, 751,     750.540,       4.991,    1260.644,   2.744E-02,   2.773E-02,   1.074E-02,   1.390E-21
213, 752,     751.792,       5.031,    1257.878,   2.725E-02,   2.773E-02,   1.013E-02,   1.397E-21
214, 753,     753.042,       5.008,    1256.146,   2.707E-02,   2.773E-02,   9.483E-03,   1.443E-21
215, 754,     754.294,       5.006,    1254.891,   2.689E-02,   2.772E-02,   8.866E-03,   1.420E-21
216, 756,     755.542,       5.006,    1250.558,   2.671E-02,   2.772E-02,   8.328E-03,   1.307E-21
217, 757,     756.802,       5.012,    1248.645,   2.654E-02,   2.772E-02,   7.888E-03,   1.120E-21
218, 758,     758.051,       5.020,    1245.524,   2.636E-02,   2.772E-02,   7.537E-03,   8.960E-22
219, 759,     759.299,       5.023,    1240.524,   2.619E-02,   2.771E-02,   7.264E-03,   6.952E-22
220, 761,     760.558,       4.967,    1238.381,   2.601E-02,   2.771E-02,   7.046E-03,   5.665E-22
221, 762,     761.802,       5.008,    1236.711,   2.584E-02,   2.771E-02,   6.870E-03,   5.312E-22
222, 763,     763.060,       5.052,    1232.839,   2.567E-02,   2.771E-02,   6.729E-03,   5.615E-22
223, 764,     764.310,       5.028,    1225.228,   2.550E-02,   2.771E-02,   6.613E-03,   6.061E-22
224, 766,     765.557,       4.976,    1217.420,   2.534E-02,   2.770E-02,   6.524E-03,   6.185E-22
225, 767,     766.815,       5.029,    1210.231,   2.517E-02,   2.770E-02,   6.466E-03,   5.748E-22
226, 768,     768.071,       5.031,    1207.241,   2.500E-02,   2.770E-02,   6.448E-03,   4.880E-22
227, 769,     769.326,       5.007,    1205.630,   2.484E-02,   2.770E-02,   6.483E-03,   3.904E-22
228, 771,     770.564,       4.982,    1204.062,   2.468E-02,   2.770E-02,   6.585E-03,   3.156E-22
229, 772,     771.823,       5.025,    1200.793,   2.452E-02,   2.769E-02,   6.768E-03,   2.763E-22
230, 773,     773.074,       5.059,    1198.190,   2.436E-02,   2.769E-02,   7.035E-03,   2.723E-22
231, 774,     774.338,       5.011,    1195.507,   2.420E-02,   2.769E-02,   7.369E-03,   2.949E-22
232, 777,     776.832,       4.997,    1190.718,   2.389E-02,   2.769E-02,   8.069E-03,   3.683E-22
